Short name,Official name,English name ,Municipality ,Address,Coordinates,URL,Designated,Criteria,Description,Short description,Object type,Construction year,Architect
Abdesthana,Graditeljska cjelina - Abdesthana (Šejh Feruhova džamija) sa grobljem i česmom u Sarajevu,"Abdesthana (the Sheikh Feruh Mosque) with burial ground and public fountain, the architectural ensemble",Sarajevo - Stari Grad,"Kovači, Ulica Abdesthana bb, 71000 Sarajevo","43.8614031 N
18.4322731 E",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/3341?return=&amp;search=idgrad:undefined:86,11/3/2011,"A, B, C(iii,iv,v,vi), D(iv,v), E(i, ii, iii,iv,v), F(i)","Šejh Feruhova džamija je jednoprostorna građevina izgrađena od kamena sa kamenom munarom i četverovodnom drvenom krovnom konstrukcijom pokrivenom crijepom. Oko džamije je već početkom XVI vijeka bila formirana mahala, odnosno naselje sa 70 kuća. Mahfil je postavljen duž sjeverozapadnog zida, mihrab je polukružni sa stalaktitnom dekoracijom i iznad njega se nalazi oculus. Minber je u drvetu, jednostavne obrade, a u džamiji postoji i ćurs. O osnivaču i o graditelju Šejh Feruhove džamije nema podataka. U džamijskom haremu nalazi se manje groblje sa nekoliko nišana koji potiču s kraja XVI vijeka. Krov i munara džamije sanirani su 2012. godine i nalaze se u dobrom fizičkom stanju očuvanosti.","Šejh Feruhova džamija je izgrađena u kamenu, u starom gradskom jezgru. O njenom osnivaču i graditelju nema preciznih podataka.",Sakralni objekat (džamija),prije 1516. godine ,"Arhitekta nepoznat, dok je osnivač džamije Šejh Feruh."
Ali-pašina džamija,Graditeljska cjelina - Ali-pašina džamija sa haremom u Sarajevu,"Ali-pasha mosque with harem, the architectural ensemble",Sarajevo - Centar ,"Maršala Tita br. 14, 71000 Sarajevo","43.8581152 N
18.4125482 E",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/2523?return=&search=idgrad:undefined:86|,25/1/2005,"A, B, C(i,iii,iv,v,vi), D(iv,v), E(i,ii,iii,iv,v), F(ii,iii), G(i,ii,iii,iv,v,vi), H(i), I(i,ii,iii)","Hadim Ali-pašina džamija u Sarajevu pripada tipu jednoprostornih potkupolnih džamija izgrađenih u kamenu, sa kamenom munarom. Centralni džamijski prostor pokriva jedna kupola, a trijem ispred ulaza je pokriven sa tri kupolice. Džamija je izgrađena u klasičnom otomanskom stilu sa skladnim proporcijama od klesanog kamena i sa vitkom munarom, kao vakuf budimskog beglerbega i bosanskog sandžak-bega Hadim Ali-paše. Mihrab nosi stalaktitnu dekoraciju, minber i ćurs su urađeni od drveta, a drveni mahfil je oslonjen na jedan kameni stub. U haremu džamije nalazi se otvoreno turbe, česma i groblje starije od same džamije. Posljednji radovi na restauraciji džamije izvršeni su 2004. godine. ",Ali-pašina džamija predstavlja jedan od najboljih primjera klasične osmanske arhitekture u Bosni i Hercegovini.,Sakralni objekat (džamija),1560./61. godine,"Arhitekta nepoznat.
Godine 1884. arhitekta Ćiril Iveković na Ali-pašinoj džamiji je izveo konzervatorsko-restauratorske radove.
"
Alifakovac,Grobljanska cjelina Alifakovac u Sarajevu,"Alifakovac, the burial ground ensemble",Sarajevo - Stari Grad,"Veliki Alifakovac, 71000 Sarajevo","43.8575379 N
18.4373085 E
",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/2555?return=,4/5/2005,"A, C(i,iv,v), D(iv,v), E(i, iii,iv,v), F(i, ii, iii), G(ii,iv,v,vi), I(i, ii)","Groblje Alifakovac je jedno od najstarijih i najljepših grobalja u Sarajevu. Broji više od 520 nišana od kojih većina ima umjetničku vrijednost, a 200-ak njih je sa epitafima. Najstariji datirani nišan je iz 1751. godine, ali postoje i stariji nišani koji predstavljaju prelazni oblik sa stećka na nišan i pretpostavlja se da potiču iz XV i XVI vijeka. Na groblju se nalaze dva otvorena turbeta podignuta 1780. godine od kojih jedno pripada Jusuf-paši Ćupriliću, a drugo pripada Muhamedu Jahjaefendiću, sinu Ahmeda Jahjaefendića koji je izgradio oba turbeta. Natpisi na nišanima su na arapskom, turskom i bosanskom jeziku. ",Na groblju Alifakovac nalazi se više od 520 nišana od kojih je najstariji iz 1751. godine. ,Groblje,IV vijek ,Arhitekta nepoznat
Debelo brdo,"Arheološko područje Debelo brdo, praistorijsko gradinsko naselje, antički i kasnoantički odbrambeni objekat u Sarajevu","Debelo Brdo, prehistoric defensive settlement, ancient and late ancient defence facility, the archaeological area",Sarajevo - Novo Sarajevo,"Debelo brdo, Sarajevo 71000","43.847259 N
18.4089077 E
",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/2550?return=&search=idgrad:undefined:86|,4/5/2005,"A, B, C(iv,v), D(i,iv), E(i,ii), G(i,v), H(i)","Arheološko područje – Debelo brdo, praistorijsko gradinsko naselje, antički i kasnoantički odbrambeni objekat se nalazi na zapadnom izdvojenom obronku masiva Trebevića, koji se izdiže oko 170 m nad dolinom Miljacke, na 746 m nadmorske visine. Nalazi na Debelom brdu svjedoče o kontinuiranom naseljavanju ovog gradinskog, tj. odbrambenog položaja. I pored dugotrajnosti ovog naselja (oko 2600 godina), radi erozije tla i prirode samog lokaliteta, o dugotrajnom naseljavanju u praistoriji, antičkom i kasnoantičkom dobu svjedoči u punoj mjeri pokretni arheološki materijal, dok su ostaci odbrambenog objekta parcijalni. Pokretni arheološki materijal sa iskopavanja 1889-1896. godine je deponiran u Zemaljskom muzeju u Sarajevu, a materijal sa iskopavanja 1983. godine biće predan Muzeju grada Sarajeva.",Arheološko područje Debelo brdo čini praistorijsko gradinsko naselje sa antičkim i kasnoantičkim objektom.,Praistorijsko gradinsko naselje sa odbrambenim objektom,neolit,Arhitekta nepoznat
Aškenaska sinagoga,Istorijski spomenik – Aškenaski hram u Sarajevu,"Ashkenazi synagogue, the historic monument",Sarajevo - Stari Grad ,"Hamdije Kreševljakovića br. 59, 71000 Sarajevo","43.8562751 N
18.4228564 E
",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/2844?return=&search=idgrad:undefined:86|,6/7/2006,"A, C(iii,iv,v), D(iii,iv), E(i,ii,iii,iv,v), G(iii,vi), H(i,ii)","Aškenaska sinagoga u Sarajevu izgrađena je u pseudomaurskom stilu prema projektu arhitekte Karela Paříka iz 1901. godine koji je nastao na originalnom projektu arhitekte Wilhelma Stiassnya iz 1895. godine. Graditelj sinagoge je bio Ludwig Jungwirth, dok je unutrašnja obrada i oslikavanje sinagoge djelo Ludwiga Oisnera. Sinagoga je trobrodna građevina sa četverovodnim krovom i sa četiri tornja sa kupolama na uglovima i konhom na istočnoj strani. Na zapadnoj strani nalazio se glavni ulaz u hram koji je naknadno spojen sa susjednim objektom Jevrejske opštine. Pseudomaurski stil se očituje u plitkom reljefu na fasadi i u unutrašnjoj dekoraciji zidnih ploha. Šezdesetih godina prošlog vijeka sinagoga je pregrađena po visini, tako da je hram izdignut na nivo nekadašnje galerije, a dobiveno prizemlje je namjenjeno društvenom životu Jevrejske opštine. Aškenaska sinagoga u Sarajevu je jedina aktivna sinagoga u Bosni i Hercegovini. ",Aškenaska sinagoga izgrađena je u pseudomaurskom stilu kao trobrodna građevina sa četiri tornja i kupolicama na uglovima.,Sakralni objekat (sinagoga),1902. godina,"Wilhelm Stiassny (originalni projekat) 
Karel Pařík (izmjene na projektu)
"
At Mejdan,Arheološko područje – At Mejdan u Sarajevu,"At Mejdan (Hippodrome), the archaeological site",Sarajevo - Stari Grad ,"Arheološko područje nalazi se na lijevoj obali Miljacke, između ulice Hamdije Kreševljakovića i Obale Isa bega Ishakovića, 71000 Sarajevo","43.856973 N
18.428102 E
",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/2530?return=&search=idgrad:undefined:86|,25/1/2005,"A, B, C(iv,v), D(i,iv), E(ii,iv,v)","U zapadnom dijelu At Mejdana nalazila se Hadži Alija Bakr-babina džamija sagrađena 1544. godine. Kasnije su u blizini džamije izgrađene medresa i biblioteka. Do austrougarskog perioda ovi objekti su porušeni, da bi 1905. godine na At Mejdanu izgrađen Filipovića trg, a 1913. godine i muzički paviljon koji je projektovao arhitekta Josip Pospišil. Muzički paviljon je stradao u požaru 1941. godine. U At Mejdanu se nalazilo i groblje koje je bilo aktivno do 1925. godine, a 1939. je djelomično ekshumirano jer je At Mejdan dobio status gradskog parka. Arheološka istraživanja vršena su u nekoliko navrata i potvrdila su različite građevinske aktivnosti kojima je područje At Mejdana devastirano. Muzički paviljon je rekonstruisan 2004. godine prema projektu profesora Nedžada Kurte. ",Arheološka istraživanja na At Mejdanu potvrdila su različite građevinske aktivnosti iz različitih istorijskih perioda.,Arheološki lokalitet ,prije 1544. godine ,Više arhitekata iz različitih istorijskih perioda
"BOR banka, Banka na Obali",Istorijski spomenik – Banka na Obali (bivši Objekat Filijale austro-ugarske banke) u Sarajevu,"Bank on the Obala (formerly a branch of the Austro-Hungarian Bank), the historic monument",Sarajevo - Stari Grad,"Obala Kulina bana br. 18, 71000 Sarajevo","43.8566252 N
18.4235253 E
",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/3283?return=&search=idgrad:undefined:86|,2/12/2009,"A, B, C(i,ii,iii,iv,v,vi), D(iii,iv,v), F(i,ii,iii), G(i,ii,iii,iv,v), H(i,ii,iii), I(i,ii,iii,iv)","Objekat nekadašnje austrougarske banke na Obali izgrađen je u stilu kasne secesije sa izuzetno bogatom fasadom pročelja, orjentisanom ka Miljacki. Iznad glavnog ulaza nalaze se tri biste koje predstavljaju glave Austrijanca, Mađara i Bosanca. Na krovu objekta nalazila se umjetnički vrijedna skulpturalna kompozicija izrađena u Budimpešti koja je tokom posljednje obnove objekta uklonjena i čiji su samo pojedini dijelovi sačuvani. U gornjim zonama fasade pročelja uočljivi su medaljoni, vijenci i friz iznad arhitrava, te druga plastična dekoracija. U ulaznom holu nalazi se umjetnički vrijedan vitraž, koji predstavlja najbolji primjer secesijskog slikarstva na staklu u Bosni i Hercegovini. Objekat je u dobrom fizičkom stanju očuvanosti.",Objekat austrougarske banke na obali izgrađen je u duhu kasne secesije. Posebnu vrijednost objekta predstavljaju skulpturalne kompozicije i vitraž.,Poslovni objekat (banka),1913. godina,Rudolf Tönnies
Baščaršijska džamija,Istorijski spomenik – Baščaršijska džamija (Džamija Havadže Duraka) u Sarajevu,"Baščaršija (Havadža Durak) mosque, the historic building",Sarajevo - Stari Grad,"Baščaršijska ulica bb, Baščaršijski trg, 71000 Sarajevo","43.8591604 N
18.4310587 E
",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/2856?return=&search=idgrad:undefined:86|,2/12/2009,"A, B, C(i,iii,iv,v), D(iv,v), E(ii,iii,iv,v), G(iv,v,vi)","Baščaršijska džamija jedna je od najstarijih potkupolnih džamija u Sarajevu. Pripada tipu jednoprostornih džamija izgrađenih od kamena, sa kamenom munarom, kamenom kupolom iznad molitvenog prostora i tri kamene kupolice iznad trijema. Prvobitno, Baščaršijska džamija je imala drvеnu kupolu koja je u požaru 1697.godine izgorila i nakon toga je izgrađena kamena kupola. Godine 1945. porušen je trijem sa tri kamene kupolice i napravljen je trijem koji je imao drvenu krovnu konstrukciju i bio je prekriven crijepom. Kasnije je ovaj drveni trijem uklonjen, a vraćen je kameni trijem sa tri kupolice. U unutrašnjosti džamije nalaze se mihrab sa stalaktitima, kameni minber i drveni mahfil koji se pruža čitavom dužinom sjeverozapadnog zida. ",Baščaršijska džamija izgrađena je u kamenu i predstavlja jednu od najstarijih džamija u Sarajevu.,Sakralni objekat (džamija),1528. godina,Arhitekta nepoznat
Bijela džamija,Graditeljska cjelina – Bijela džamija (Džamija Divan katiba Hajdara) u Sarajevu,"Bijela (White) mosque, the architectural ensemble",Sarajevo - Stari Grad,"Džanin sokak bb, Vratnik, 71000 Sarajevo","43.8609501 N
18.4404244 E
",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/2538?return=&search=idgrad:undefined:86|,15/3/2005,"A, B, C(i,ii,iii,iv,v,vi), E(i,ii,iii,iv,v), F(i,ii,iii)","Bijelu džamija sa mektebom podigao je Gazi Husrev-begov divan katib (sekretar) hadži-Hajdar efendija između 1536. i 1545. godine. Bijela džamija pripada tipu jednoprostornih džamija sa četverovodnom drvenom krovnom konstrukcijom, drvenim trijemom i kamenom munarom. U unutrašnjosti džamije nalaze se kameni mihrab sa stalaktitnom dekoracijom i drveni minber i mahfil novije izrade. Pored kamene munare visine 26 metara, drvene sofe predstavljaju najreprezentativniji dio džamije. U haremu džamije nalaze se turbe osnivača džamije, tridesetak nišana, objekat mekteba i Bijela česma iz 1815. godine. ",Bijela džamija ima četverovodni krov i kamenu munaru. U haremu džamije je turbe njenog osnivača.,Sakralni objekat (džamija),"poslije 1536., a prije 1545. godine",Arhitekta nepoznat
Brusa-bezistan,"Graditeljska cjelina – Brusa-bezistan (Rustem-pašin bezistan, Mali bezistan) sa dućanima u Sarajevu","Brusa-bezistan (Rustem Pasha bezistan, Small bezistan) with shops, the architectural ensemble",Sarajevo - Stari Grad,"Abadžiluk br. 10, Baščaršija, 71000 Sarajevo","43.858852 N
18.430430 E
",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/2841?return=&search=idgrad:undefined:86|,5/7/2006,"A, B, C(i,ii,iii,iv,v), D(i,ii,iii,iv), F(i,ii,iii), G(i,ii,iii), H(i), I(i,ii,iii)","Graditelj Brusa bezistana bio je vezir Rustem-paša, koji se pored državničkih poslova bavio i proizvodnjom svile u Bursi po kojoj je bezistan dobio ime. Prvobitno, u Brusa bezistanu se prodavala svila i drugi skupocijeni proizvodi. Brusa bezistan je masivni kameni objekat pravougaone osnove koju pokriva šest jednakih kamenih kupola koje se oslanjaju na vanjske zidove i dva masivna stuba u unutrašnjosti. Bezistan se 1867. godine nalazio u teškom stanju, tako da se pristupilo radovima restauracije, konzervacije i obnove. Tokom radova na adaptaciji objekta iz 2000. i 2001. godine Brusa bezistan je transformisan u muzejsko-izložbeni prostor i danas predstavlja jedan od depadansa Muzeja Sarajevo. U objektu se nalazi drvena galerija koja okružuje sve četiri strane objekta. Od četiri postojeća ulaza u objekat, trenutno je u upotrebi samo jedan ulaz i to iz ulice Abadžiluk. U objektu se čuva maketa stare sarajevske Baščaršije. Dućani koji okružuju bezistan su zadržali funkciju prodajnih prostora.",Brusa-bezistan bio je namijenjen prodaji svile iz Burse. U bezistanu je sada muzejski sadržaj.,"Poslovni objekat, muzej",1551. godina,Arhitekta nepoznat
