Short name,Official name,English name ,Municipality ,Address,Coordinates,URL,Designated,Criteria,Short description,Object type,Construction year,Architect
Bedemi i tabije starog grada Jajca,"Bedemi i tabije starog grada Jajca, historijsko područje","Ramparts and bastions of the Old Town of Jajce, the historic site",Jajce,"Harmani, Jajce 70101",44.340798 N 17.269222 E,http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/1922?return=&search=idgrad:undefined:46|,20/1/2004,"A, B, C (i, ii, iii, iv, v, vi), D (i, ii, iii, iv), E (iii, v), F, G (v), H, I (i, ii, iii)","Unutar bedema izgrađeni su različiti objekti koji svjedoče o značajnoj ulozi Jajca u srednjem vijeku, i kasnije.",Fortifikacijski objekt,oko sredine XV vijeka,Arhitekt nepoznat
Burića kuća,"Burića kuća u Jajcu, mjesto i ostaci historijske građevine","Burić house in Jajce, the site and remains of the historic monument",Jajce,"Svetog Luke, Jajce 70101",44.339580 N 17.268745 E,http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/1926?return=&search=idgrad:undefined:46|,20/1/2004,"A, B, C (iii, iv, v), D (ii, iv, v), F",U vrijeme Drugog svjetskog rada u ovoj kući je jedan period bio smješten Josip Broz Tito i Vrhovni štab Narodnooslobodilačke vojske. ,Stambeni objekt,druga polovica XVIII vijeka,Arhitekt nepoznat
Pravoslavna Crkva Presvete Bogorodice,"Crkva Presvete Bogorodice, sa pokretnim naslijeđem, mjesto i ostaci povijesne građevine","Church of the Most Holy Mother of God together with movable heritage, the site and remains of the historic building",Jajce,"Maršala Tita, Jajce 70101",44.343796 N 17.271305 E,http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/1929?return=&search=idgrad:undefined:46|,21/1/2004,"A, B, E (i, ii, iii, iv, v), F (ii)",Najveće bogatstvo ove crkve bio je ikonostas koji je izradio lokalni majstor. Crkva je uništena miniranjem tokom 1992-1995. godine.,Sakralni objekt (crkva),Početak gradnje: 1930. godina                   Završetak: 1935. godine,Miloš Miloradović (glavni arhitekt) prota Milan Ilić (korekcije)
Crkva sv. Ive u Podmilačju,"Crkva sv. Ive u Podmilačju, graditeljska cjelina        ","Church of St John in Podmilačje, the architectural ensemble",Jajce,"Podmilačje, Jajce 70101",44.375524 N 17.294649 E,http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/278?return=&search=idgrad:undefined:46|,6/5/2003,"A, B, C (v), E (ii, iii, iv, v), F (iii)","Jedna je od pet najstarijih crkava u BiH, u potpunosti uništena 1993. godine. Predstavlja prostor hodočašća za katolike, pravoslavce i muslimane.",Sakralni objekt (crkva),XV vijek,Arhitekt nepoznat
Crkva sv. Marije sa Zvonikom Sv. Luke,"Crkva sv. Marije (pretvorena u Fethija, odnosno Sultan Sulejmanovu džamiju, 1528. godine) sa zvonikom sv. Luke, graditeljska cjelina","St. Mary’s Church with St. Luke’s Belltower in Jajce, the architectural ensemble",Jajce,"Svetog Luke, Jajce 70101",44.339423 N 17.268865 E,http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/1316?return=&search=idgrad:undefined:46|,21/1/2003,"A, B, C (iii), D (i, ii, iv), E (ii, v), F (ii, iii), G (iv, v), H (i), I (i, ii, iii, iv)",U ovoj crkvi je krunisan posljednji bosanski kralj Stjepan Tomašević. Za vrijeme Osmanskog carstva bila je pretvorena u džamiju.,Sakralni objekt (crkva),XII vijek,Arhitekt nepoznat
Dizdareva ili Ženska džamija,"Dizdareva ili Ženska džamija, historijska građevina","Dizdar or Women’s Mosque, the historic building",Jajce,"Gornja mahala - ulica Starogradska, Jajce 70101",44.340070 N 17.269172 E,http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/1310?return=&search=idgrad:undefined:46|,21/1/2003,"A, B, C (iii, v), D (iv), E (i, ii, iii, iv, v), F (ii), G (i, ii, iii, v), H",Džamija nema munaru i spada u red centralnih jednoprostornih džamija. Sagradio ju je Sulejman-beg Kulenović.,Sakralni objekt (džamija),1812./1813. godina,Arhitekt nepoznat
Muzej AVNOJ-a u Jajcu,Dom AVNOJ-a u Jajcu sa pokretnom imovinom,"AVNOJ Centre in Jajce, complete with its movable property",Jajce,"Drugog zasjedanja AVNOJ-a bb, Jajce 70101",444.338083 N 17.268145 E,http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/1306?return=&search=idgrad:undefined:46|,4/9/2002,"A (ii), B (ii), D (ii), E (ii)",U ovom objektu održano je drugo zasjedanje AVNOJ-a na kojem je donesena odluka o izgradnji Jugoslavije na federalnom principu.,Javni objekt (muzej),Početak gradnje: 1932. godina                   Završetak: 1934. godine,Momir Korunović (glavni arhitekt)      Živa Đorđević (sanacija)
Džamija Esme Sultanije,"Čaršijska (Esme Sultanije) džamija sa pratećim objektima: šadrvanom, stambenim objektom, mektebom i haremom, područje i ostaci graditeljske cjeline","Čaršija (Sultana Esma) mosque and ancillary buildings of the fountain, residential building, mekteb (Muslim religious school) and graveyard, the site and ruins of the architectural ensemble",Jajce,"Hrvoja Vukčića Hrvatinića, Jajce 70101",44.339793 N 17.271250 E,http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/1311?return=&search=idgrad:undefined:46|,21/1/2003,"A, B, C (ii), E (ii, iii, v), F (ii)",Najvrijedniji je objekt među džamijama u Jajcu iz Osmanskog perioda. Postoji vjerovanje da ju je zajedno sa dva mosta na rijeci Vrbas dala sagraditi Esma Sultanija.,Sakralni objekt (džamija),"Postoje različiti podaci o nastajanju džamije: 1749./1750. godina, 1760./63. godina i 1770./72. godina",Arhitekt nepoznat
Kraljev grob,Historijski spomenik zvani Kraljev grob u Zastinju,The historic monument known as the King’s Tomb in Zastinje near Jajce,Jajce,"Selo Zastinje, Jajce 70101",N/A,http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/2475?return=&search=idgrad:undefined:46|,6/7/2004,"A, B, D (ii), E (iii, v), G (vi, vii) ","Prema predanju, 1463. godine na ovom mjestu je sahranjen posljednji bosanski kralj Stjepan Tomašević.",Grob (stećak),1463. godina,/
Gradsko područje Jajca,"Jajce, historijsko gradsko područje","Jajce, the historic site",Jajce,N/A,N/A,http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/2494?return=&search=idgrad:undefined:46|,7/7/2004,"A, B, D (i, ii, iii, iv, v), E (iii, v), F, G (v), H, I (i, ii, iii)","U gradskoj jezgri Jajca nalaze se objekti koji svjedoče o kulturnom, historijskom i prirodnom značaju ovog grada kroz stoljeća.",Gradsko područje,od srednjeg vijeka do XX vijeka,/
